Lot_Area,Overall_Qual,Overall_Cond,Mas_Vnr_Area,Exter_Qual,Bsmt_Qual,Bsmt_Exposure,BsmtFin_Type_1,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,Functional,Fireplaces,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Screen_Porch,Pool_QC,Total_SF,Total_Baths,House_Age,Is_New,Neighborhood_Median_Sale_Price,MS_SubClass_Duplex_All_Styles_and_Ages,MS_SubClass_One_Story_1945_and_Older,MS_SubClass_One_Story_1946_and_Newer_All_Styles,MS_SubClass_One_Story_PUD_1946_and_Newer,MS_SubClass_Split_Foyer,MS_SubClass_Two_Story_PUD_1946_and_Newer,MS_Zoning_Floating_Village_Residential,MS_Zoning_Residential_Low_Density,MS_Zoning_Residential_Medium_Density,Alley_Gravel,Land_Contour_Bnk,Land_Contour_HLS,Land_Contour_Low,Lot_Config_CulDSac,Lot_Config_FR2,Neighborhood_Briardale,Neighborhood_Brookside,Neighborhood_Clear_Creek,Neighborhood_College_Creek,Neighborhood_Crawford,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Iowa_DOT_and_Rail_Road,Neighborhood_Meadow_Village,Neighborhood_Northridge,Neighborhood_Northridge_Heights,Neighborhood_Northwest_Ames,Neighborhood_Old_Town,Neighborhood_Sawyer,Neighborhood_Sawyer_West,Neighborhood_Somerset,Neighborhood_Stone_Brook,Neighborhood_Timberland,Condition_1_Artery,Condition_1_Feedr,Condition_1_Norm,Condition_1_PosN,Bldg_Type_Duplex,Bldg_Type_OneFam,Bldg_Type_TwnhsE,House_Style_One_and_Half_Fin,Roof_Style_Gable,Roof_Style_Hip,Roof_Matl_CompShg,Exterior_1st_'Wd Sdng',Exterior_1st_AsbShng,Exterior_1st_BrkFace,Exterior_1st_HdBoard,Exterior_1st_Plywood,Exterior_2nd_'Wd Sdng',Exterior_2nd_BrkFace,Exterior_2nd_CmentBd,Exterior_2nd_Plywood,Exterior_2nd_VinylSd,Mas_Vnr_Type_None,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Heating_GasA,Central_Air_N,Central_Air_Y,Garage_Type_Basment,Garage_Type_BuiltIn,Garage_Type_Detchd,Garage_Type_No_Garage,Sale_Type_'WD ',Year_Sold,Mo_Sold,Sale_Price
-2.1254387576728204,7,5,0.2923359522822347,3,4,3,6,0.7998679944883265,0.3393140312049768,5,0.39810512746410515,-0.8609569958526236,-0.4021095523932938,0,2,0,2,1,4,8,0,2,0.1893031737961142,3,3,-0.3086812281678178,0,0.08814180053218339,2.0,-1.7922627767045318,1,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2006,3,0.015387119962862152
-2.1234800447421085,7,5,1.1143369356213455,3,4,4,6,0.8470192651386881,0.4129564498124556,5,0.9857628702250478,-0.8609569958526236,0.18115030615233524,0,2,0,2,1,4,8,1,2,0.19246619953230495,3,3,-0.3086812281678178,0,0.536846549729127,2.0,-1.7922627767045318,1,0.015387119962862152,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2006,4,0.614235729038236
-2.007543105195609,8,5,0.6288584587597519,3,4,4,1,0.8173098876615164,0.35602329642180824,5,0.8801678409535766,-0.8609569958526236,0.07634552378591929,0,2,0,2,1,4,8,1,2,0.12630100687168277,3,3,-0.3086812281678178,0,0.3763872919503862,2.0,-1.2644580794542954,1,0.31481142450054905,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2006,5,0.6315223735675601
-2.173042739533393,7,5,0.6288584587597519,3,4,3,6,0.09865507788517684,0.41665977316276503,5,0.9961290266487992,-0.8609569958526236,0.1914388848426677,1,2,0,2,1,4,8,1,2,0.12282167730384488,3,3,-0.3086812281678178,0,0.5492109229812481,3.0,-1.0945429187959257,1,0.614235729038236,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2006,5,0.9717346701622459
-2.085349864153596,7,5,0.3348526316186514,3,4,1,1,0.8583770111674266,0.42095985788680645,5,0.788628815036194,-0.8609569958526236,-0.014508446855452167,0,2,0,2,1,4,8,1,2,0.12282167730384488,3,3,-0.3086812281678178,0,0.4466298756390464,2.0,-1.4835168211086607,1,0.6228790513028981,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2006,5,0.17849653291201
-2.1254387576728204,7,5,0.2444915753232723,3,4,4,6,0.751937540810754,0.2645402064078257,5,0.12055611542016112,-0.8609569958526236,-0.6775814567430396,0,2,0,2,1,4,8,0,2,0.19246619953230495,3,3,-0.3086812281678178,0,-0.1985282045079181,2.0,-1.7922627767045318,1,0.614235729038236,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2006,6,-0.14239726639952316
-2.085349864153596,7,5,0.3348526316186514,3,4,1,6,0.05852029492529111,0.4148101447926949,5,1.0717896677378718,-0.8609569958526236,0.2665333005339383,1,2,0,2,1,4,8,1,2,0.1051591944955673,3,3,-0.3086812281678178,0,0.5871316462115637,3.0,-1.4835168211086607,1,0.39636613097512297,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2006,9,0.7430274950599594
-2.007543105195609,7,5,0.3348526316186514,3,4,4,1,0.8579893656155763,0.4203469011697201,5,1.089920299630332,-0.8609569958526236,0.28452824729198894,0,2,0,2,1,4,8,1,2,0.16016970897394595,3,3,-0.3086812281678178,0,0.6070285851418384,2.0,-1.2644580794542954,1,0.614235729038236,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2006,10,0.8392237738247906
-1.5751800590681855,8,5,-0.7906771779329439,3,4,3,6,0.15370516169083553,0.5054299452269676,5,1.1099430151668501,-0.8609569958526236,0.30440111781124896,1,2,0,1,1,5,8,1,3,0.4613397675248201,3,3,-0.3086812281678178,0,0.7745215413043923,3.0,-2.320067473954768,1,0.6228790513028981,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,2006,10,1.1402934580312427
-1.5443130495582695,7,5,0.6728444138956148,3,4,3,6,0.022600559986651156,0.4092367882180102,5,0.973277987591295,-0.8609569958526236,0.16875885727137713,1,2,0,2,1,4,8,1,3,0.4613397675248201,3,3,-0.3086812281678178,0,0.5233039594748761,3.0,-2.320067473954768,1,0.6315223735675601,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2006,10,0.9676399593363514
